          R (AU)    Sigma_totale           Omega            Visc            Tmid            Teff              Cs               H             Rho        Pressure            Pbar
   0.1250415E+01   0.8379869E+04   0.6365007E-06   0.7616572E+17   0.1084330E+05   0.7141872E+03   0.6399852E+04   0.3013147E+00   0.9332558E-09   0.1217337E+03   0.1217337E-03
   0.1297887E+01   0.8252061E+04   0.5691809E-06   0.7746043E+17   0.1042816E+05   0.6948924E+03   0.6276144E+04   0.3124767E+00   0.8861935E-09   0.1111693E+03   0.1111693E-03
   0.1347162E+01   0.8125536E+04   0.5089812E-06   0.7877269E+17   0.1002834E+05   0.6761023E+03   0.6154655E+04   0.3240430E+00   0.8414593E-09   0.1015105E+03   0.1015105E-03
   0.1398307E+01   0.8000280E+04   0.4551485E-06   0.8010259E+17   0.9643299E+04   0.6578038E+03   0.6035343E+04   0.3360278E+00   0.7989392E-09   0.9268042E+02   0.9268042E-04
   0.1451394E+01   0.7876278E+04   0.4070095E-06   0.8145018E+17   0.9272499E+04   0.6399844E+03   0.5918172E+04   0.3484457E+00   0.7585246E-09   0.8460873E+02   0.8460873E-04
   0.1506497E+01   0.7753514E+04   0.3639619E-06   0.8281550E+17   0.8915426E+04   0.6226317E+03   0.5803102E+04   0.3613117E+00   0.7201124E-09   0.7723089E+02   0.7723089E-04
   0.1563692E+01   0.7631970E+04   0.3254673E-06   0.8419858E+17   0.8571580E+04   0.6057337E+03   0.5690096E+04   0.3746414E+00   0.6836041E-09   0.7048785E+02   0.7048785E-04
   0.1623058E+01   0.7511630E+04   0.2910441E-06   0.8559940E+17   0.8240481E+04   0.5892786E+03   0.5579117E+04   0.3884507E+00   0.6489064E-09   0.6432552E+02   0.6432552E-04
   0.1684678E+01   0.7392476E+04   0.2602617E-06   0.8701795E+17   0.7921664E+04   0.5732550E+03   0.5470127E+04   0.4027561E+00   0.6159303E-09   0.5869440E+02   0.5869440E-04
   0.1748637E+01   0.7274489E+04   0.2327350E-06   0.8845419E+17   0.7614681E+04   0.5576515E+03   0.5363089E+04   0.4175745E+00   0.5845912E-09   0.5354916E+02   0.5354916E-04
   0.1815025E+01   0.7157652E+04   0.2081196E-06   0.8990804E+17   0.7319098E+04   0.5424573E+03   0.5257968E+04   0.4329236E+00   0.5548085E-09   0.4884829E+02   0.4884829E-04
   0.1883933E+01   0.7041946E+04   0.1861078E-06   0.9137940E+17   0.7034497E+04   0.5276615E+03   0.5154727E+04   0.4488211E+00   0.5265058E-09   0.4455381E+02   0.4455381E-04
   0.1955457E+01   0.6927351E+04   0.1664240E-06   0.9286814E+17   0.6760475E+04   0.5132537E+03   0.5053331E+04   0.4652856E+00   0.4996102E-09   0.4063097E+02   0.4063097E-04
   0.2029697E+01   0.6813848E+04   0.1488221E-06   0.9437409E+17   0.6496642E+04   0.4992237E+03   0.4953745E+04   0.4823361E+00   0.4740524E-09   0.3704793E+02   0.3704793E-04
   0.2106755E+01   0.6701417E+04   0.1330818E-06   0.9589705E+17   0.6242623E+04   0.4855614E+03   0.4855933E+04   0.4999921E+00   0.4497666E-09   0.3377559E+02   0.3377559E-04
   0.2186739E+01   0.6590038E+04   0.1190064E-06   0.9743678E+17   0.5998055E+04   0.4722572E+03   0.4759862E+04   0.5182737E+00   0.4266901E-09   0.3078731E+02   0.3078731E-04
   0.2269759E+01   0.6479693E+04   0.1064196E-06   0.9899298E+17   0.5762589E+04   0.4593013E+03   0.4665498E+04   0.5372013E+00   0.4047633E-09   0.2805869E+02   0.2805869E-04
   0.2355931E+01   0.6370360E+04   0.9516407E-07   0.1005653E+18   0.5535887E+04   0.4466846E+03   0.4572806E+04   0.5567960E+00   0.3839296E-09   0.2556746E+02   0.2556746E-04
   0.2445375E+01   0.6262019E+04   0.8509899E-07   0.1021534E+18   0.5317624E+04   0.4343978E+03   0.4481754E+04   0.5770794E+00   0.3641351E-09   0.2329318E+02   0.2329318E-04
   0.2538215E+01   0.6154652E+04   0.7609846E-07   0.1037568E+18   0.5107485E+04   0.4224322E+03   0.4392307E+04   0.5980736E+00   0.3453286E-09   0.2121722E+02   0.2121722E-04
   0.2634579E+01   0.6048237E+04   0.6804986E-07   0.1053751E+18   0.4905169E+04   0.4107789E+03   0.4304435E+04   0.6198011E+00   0.3274615E-09   0.1932248E+02   0.1932248E-04
   0.2734602E+01   0.5942755E+04   0.6085254E-07   0.1070076E+18   0.4710384E+04   0.3994296E+03   0.4218104E+04   0.6422850E+00   0.3104873E-09   0.1759336E+02   0.1759336E-04
   0.2838422E+01   0.5838188E+04   0.5441644E-07   0.1086537E+18   0.4522847E+04   0.3883758E+03   0.4133283E+04   0.6655487E+00   0.2943621E-09   0.1601557E+02   0.1601557E-04
   0.2946183E+01   0.5734514E+04   0.4866106E-07   0.1103127E+18   0.4342287E+04   0.3776095E+03   0.4049939E+04   0.6896163E+00   0.2790441E-09   0.1457606E+02   0.1457606E-04
   0.3058036E+01   0.5631716E+04   0.4351439E-07   0.1119838E+18   0.4168444E+04   0.3671226E+03   0.3968041E+04   0.7145120E+00   0.2644935E-09   0.1326287E+02   0.1326287E-04
   0.3174136E+01   0.5529775E+04   0.3891207E-07   0.1136661E+18   0.4001065E+04   0.3569076E+03   0.3887559E+04   0.7402605E+00   0.2506725E-09   0.1206510E+02   0.1206510E-04
   0.3294643E+01   0.5428673E+04   0.3479652E-07   0.1153587E+18   0.3839906E+04   0.3469566E+03   0.3808460E+04   0.7668870E+00   0.2375451E-09   0.1097274E+02   0.1097274E-04
   0.3419725E+01   0.5328392E+04   0.3111625E-07   0.1170604E+18   0.3684732E+04   0.3372624E+03   0.3730716E+04   0.7944167E+00   0.2250772E-09   0.9976683E+01   0.9976683E-05
   0.3549556E+01   0.5228916E+04   0.2782522E-07   0.1187700E+18   0.3535318E+04   0.3278174E+03   0.3654293E+04   0.8228751E+00   0.2132365E-09   0.9068567E+01   0.9068567E-05
   0.3684317E+01   0.5130230E+04   0.2488227E-07   0.1204861E+18   0.3391443E+04   0.3186146E+03   0.3579163E+04   0.8522877E+00   0.2019921E-09   0.8240766E+01   0.8240766E-05
   0.3824193E+01   0.5032321E+04   0.2225059E-07   0.1222073E+18   0.3252897E+04   0.3096466E+03   0.3505293E+04   0.8826802E+00   0.1913149E-09   0.7486307E+01   0.7486307E-05
